Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,18.88,18.89,17.57,18.79,321100,17.6949
2016-06-30,18.99,18.99,18.10,18.69,96100,17.6008
2016-06-29,19.49,19.49,18.50,18.67,94700,17.5819
2016-06-28,18.34,19.40,17.80,19.40,237800,18.2694
2016-06-27,17.80,18.35,17.80,18.10,28300,17.0452
2016-06-24,17.58,19.00,17.58,18.15,115200,17.0922
2016-06-23,17.91,19.00,17.91,18.64,117100,17.5537
2016-06-22,17.46,17.92,17.22,17.81,121300,16.7721
2016-06-21,16.50,17.50,16.35,17.45,174700,16.433
2016-06-20,16.01,16.50,16.00,16.35,245300,15.3971
2016-06-17,16.47,16.48,16.02,16.02,17100,15.0864
2016-06-16,16.10,16.10,16.10,16.10,000,15.1617
2016-06-15,16.50,16.50,16.01,16.10,151600,15.1617
2016-06-14,16.80,16.80,16.01,16.25,102500,15.303
2016-06-13,16.47,17.85,15.70,16.75,154800,15.7738
2016-06-10,16.30,17.39,15.67,16.50,115200,15.5384
2016-06-09,15.50,16.37,15.37,16.36,1047700,15.4066
2016-06-08,15.85,16.37,15.49,15.50,195600,14.5967
2016-06-07,15.50,15.99,15.50,15.78,312200,14.8604
2016-06-06,16.40,16.40,15.22,15.80,101200,14.8792
2016-06-03,16.90,16.91,15.00,15.74,96400,14.8227
2016-06-02,16.26,16.80,15.61,16.34,839500,15.3877
2016-06-01,16.06,16.85,15.40,15.82,937800,14.898
2016-05-31,16.66,16.66,15.32,15.32,1303400,14.4272
2016-05-30,17.00,17.00,15.80,16.66,28800,15.6891
2016-05-27,16.99,16.99,16.00,16.31,188100,15.3595
2016-05-26,17.38,17.38,16.00,16.09,207500,15.1523
2016-05-25,17.20,17.50,17.20,17.32,150800,16.3106
2016-05-24,16.62,17.80,16.20,17.44,68400,16.4236
2016-05-23,17.56,17.93,16.25,17.49,31600,16.4707
2016-05-20,17.56,17.99,17.00,17.59,16900,16.5649
2016-05-19,16.40,17.00,16.40,17.00,22200,16.0093
2016-05-18,14.50,16.50,14.50,16.50,134900,15.5384
2016-05-17,13.90,14.04,13.80,13.81,647800,13.0052
2016-05-16,14.04,14.20,13.85,13.87,95800,13.0617
2016-05-13,14.29,14.60,13.77,14.07,247700,13.25
2016-05-12,14.00,15.19,13.90,14.29,73300,13.4572
2016-05-11,14.25,15.13,13.60,13.60,175900,12.8074
2016-05-10,14.50,14.50,14.11,14.20,537700,13.3724
2016-05-09,14.85,14.99,13.04,14.25,833400,13.4195
2016-05-06,15.20,15.20,13.50,14.99,667100,14.1164
2016-05-05,15.02,15.30,14.50,14.50,433400,13.655
2016-05-04,15.50,15.78,15.01,15.20,127700,14.3142
2016-05-03,15.75,15.79,15.25,15.50,55800,14.5967
